"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","All","All","2022","All",38694300,30272200,3,-21.7657381061293
"CANSIM","All","All","2022","[20,25[",2435400,2427000,2,-0.344912540034491
"CANSIM","All","All","2022","[25,30[",2581200,2572200,2,-0.348675034867504
"CANSIM","All","All","2022","[30,35[",2685700,2675200,2,-0.390959526380459
"CANSIM","All","All","2022","[35,40[",2668600,2658600,2,-0.374728321966574
"CANSIM","All","All","2022","[40,45[",2551800,2542700,2,-0.356611019672388
"CANSIM","All","All","2022","[45,50[",2401100,2393700,2,-0.308192078630628
"CANSIM","All","All","2022","[50,55[",2421700,2414000,2,-0.317958458933807
"CANSIM","All","All","2022","[55,60[",2635600,2627700,2,-0.299741994232812
"CANSIM","All","All","2022","[60,65[",2644200,2636500,2,-0.291203388548521
"CANSIM","All","All","2022","[65,70[",2310200,2304600,2,-0.242403255129426
"CANSIM","All","All","2022","[70,75[",1881500,1877700,2,-0.201966516077598
"CANSIM","All","All","2022","[75,80[",1380800,1378600,2,-0.159327925840093
"CANSIM","All","All","2022","[80,85[",876400,875600,2,-0.0912825193975354
"CANSIM","All","All","2022","[85,90[",533200,532800,2,-0.0750187546886722
"CANSIM","All","All","2022","[90,95[",264600,264600,2,0
"CANSIM","All","All","2022","[95,100[",77900,77900,2,0
"CANSIM","All","All","2022","[100,max[",12700,12800,2,0.78740157480315
"CANSIM","All","Male","2022","All",19211800,14905900,2,-22.4127879740576
"CANSIM","All","Male","2022","[20,25[",1261100,1256900,1,-0.333042581872968
"CANSIM","All","Male","2022","[25,30[",1330200,1325600,1,-0.345812659750413
"CANSIM","All","Male","2022","[30,35[",1364500,1359000,1,-0.403078050567974
"CANSIM","All","Male","2022","[35,40[",1340900,1335900,1,-0.372883883958535
"CANSIM","All","Male","2022","[40,45[",1264700,1260200,1,-0.35581560844469
"CANSIM","All","Male","2022","[45,50[",1186700,1183200,1,-0.294935535518665
"CANSIM","All","Male","2022","[50,55[",1201200,1197300,1,-0.324675324675325
"CANSIM","All","Male","2022","[55,60[",1309100,1305000,1,-0.313192269498129
"CANSIM","All","Male","2022","[60,65[",1303100,1299000,1,-0.314634333512394
"CANSIM","All","Male","2022","[65,70[",1121100,1118200,1,-0.258674516100259
"CANSIM","All","Male","2022","[70,75[",899000,897000,1,-0.222469410456062
"CANSIM","All","Male","2022","[75,80[",646700,645600,1,-0.170094325034792
"CANSIM","All","Male","2022","[80,85[",389800,389400,1,-0.102616726526424
"CANSIM","All","Male","2022","[85,90[",218300,218100,1,-0.0916170407695831
"CANSIM","All","Male","2022","[90,95[",92400,92500,1,0.108225108225108
"CANSIM","All","Male","2022","[95,100[",20600,20600,1,0
"CANSIM","All","Male","2022","[100,max[",2400,2400,1,0
"CANSIM","All","Female","2022","All",19482500,15366300,2,-21.1276786860003
"CANSIM","All","Female","2022","[20,25[",1174300,1170100,1,-0.357659882483181
"CANSIM","All","Female","2022","[25,30[",1251100,1246600,1,-0.359683478538886
"CANSIM","All","Female","2022","[30,35[",1321200,1316200,1,-0.378443838934302
"CANSIM","All","Female","2022","[35,40[",1327700,1322700,1,-0.376591097386458
"CANSIM","All","Female","2022","[40,45[",1287100,1282500,1,-0.357392587988501
"CANSIM","All","Female","2022","[45,50[",1214400,1210500,1,-0.321146245059289
"CANSIM","All","Female","2022","[50,55[",1220500,1216700,1,-0.311347808275297
"CANSIM","All","Female","2022","[55,60[",1326500,1322700,1,-0.286468149264983
"CANSIM","All","Female","2022","[60,65[",1341100,1337500,1,-0.268436358213407
"CANSIM","All","Female","2022","[65,70[",1189100,1186400,1,-0.227062484231772
"CANSIM","All","Female","2022","[70,75[",982500,980700,1,-0.183206106870229
