"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","All","All",2001,"All",31020902,30921766,3,-0.319578070295957
"CANSIM","All","All",2001,"[0,5[",1754354,1745660,2,-0.495567029231273
"CANSIM","All","All",2001,"[5,10[",2017049,2007677,2,-0.464639183282112
"CANSIM","All","All",2001,"[10,15[",2079739,2070474,2,-0.44548859255897
"CANSIM","All","All",2001,"[15,20[",2115915,2107627,2,-0.391698154226422
"CANSIM","All","All",2001,"[20,25[",2108997,2101785,2,-0.341963502081795
"CANSIM","All","All",2001,"[25,30[",2073119,2065401,2,-0.372289289712747
"CANSIM","All","All",2001,"[30,35[",2240374,2231894,2,-0.378508231214967
"CANSIM","All","All",2001,"[35,40[",2639120,2630320,2,-0.333444481493831
"CANSIM","All","All",2001,"[40,45[",2655885,2647759,2,-0.305962042784232
"CANSIM","All","All",2001,"[45,50[",2379380,2372296,2,-0.297724617337289
"CANSIM","All","All",2001,"[50,55[",2117467,2111560,2,-0.278965386473555
"CANSIM","All","All",2001,"[55,60[",1628793,1625029,2,-0.231091366429006
"CANSIM","All","All",2001,"[60,65[",1288861,1286499,2,-0.183262586112855
"CANSIM","All","All",2001,"[65,70[",1142016,1140383,2,-0.142992742658597
"CANSIM","All","All",2001,"[70,75[",1019558,1018482,2,-0.105535928314034
"CANSIM","All","All",2001,"[75,80[",818935,818264,2,-0.0819356847613058
"CANSIM","All","All",2001,"[80,85[",523143,522766,2,-0.07206442597913
"CANSIM","All","All",2001,"[85,90[",283968,283770,2,-0.0697261663286004
"CANSIM","All","All",2001,"[90,95[",105780,105702,2,-0.0737379466817924
"CANSIM","All","All",2001,"[95,100[",24927,24902,2,-0.100292855137
"CANSIM","All","All",2001,"[100,max[",3522,3516,2,-0.170357751277683
"CANSIM","All","Male",2001,"All",15366600,15315442,2,-0.332916845626228
"CANSIM","All","Male",2001,"[0,5[",898031,893644,1,-0.488513202773624
"CANSIM","All","Male",2001,"[5,10[",1032429,1027638,1,-0.464051281008185
"CANSIM","All","Male",2001,"[10,15[",1065250,1060439,1,-0.451631072518188
"CANSIM","All","Male",2001,"[15,20[",1088281,1083961,1,-0.396956300808339
"CANSIM","All","Male",2001,"[20,25[",1078970,1075291,1,-0.340973335681252
"CANSIM","All","Male",2001,"[25,30[",1052680,1048856,1,-0.363263289888665
"CANSIM","All","Male",2001,"[30,35[",1130642,1126351,1,-0.379518892806034
"CANSIM","All","Male",2001,"[35,40[",1330955,1326511,1,-0.333895586251977
"CANSIM","All","Male",2001,"[40,45[",1329876,1325721,1,-0.312435144329246
"CANSIM","All","Male",2001,"[45,50[",1181591,1177855,1,-0.316183857189163
"CANSIM","All","Male",2001,"[50,55[",1053763,1050640,1,-0.296366450520658
"CANSIM","All","Male",2001,"[55,60[",809433,807300,1,-0.263517795790387
"CANSIM","All","Male",2001,"[60,65[",630932,629640,1,-0.204776425985685
"CANSIM","All","Male",2001,"[65,70[",550143,549233,1,-0.165411538454547
"CANSIM","All","Male",2001,"[70,75[",469449,468844,1,-0.128874489028627
"CANSIM","All","Male",2001,"[75,80[",343126,342783,1,-0.0999632787955445
"CANSIM","All","Male",2001,"[80,85[",195937,195747,1,-0.0969699444209108
"CANSIM","All","Male",2001,"[85,90[",91989,91909,1,-0.086966919957821
"CANSIM","All","Male",2001,"[90,95[",27526,27492,1,-0.123519581486595
"CANSIM","All","Male",2001,"[95,100[",5077,5070,1,-0.137876698837896
"CANSIM","All","Male",2001,"[100,max[",520,517,1,-0.576923076923077
"CANSIM","All","Female",2001,"All",15654302,15606324,2,-0.306484441145955
"CANSIM","All","Female",2001,"[0,5[",856323,852016,1,-0.502964418799915
"CANSIM","All","Female",2001,"[5,10[",984620,980039,1,-0.465255631614227
"CANSIM","All","Female",2001,"[10,15[",1014489,1010035,1,-0.439038767300582
"CANSIM","All","Female",2001,"[15,20[",1027634,1023666,1,-0.386129692088818
"CANSIM","All","Female",2001,"[20,25[",1030027,1026494,1,-0.343000717456921
"CANSIM","All","Female",2001,"[25,30[",1020439,1016545,1,-0.381600468033856
